year,garnizon,outcome,suicides
2021,Rzeszów,Attempted,631
2021,Rzeszów,Fatal,269
2021,Szczecin,Attempted,594
2021,Szczecin,Fatal,245
2021,Warszawa,Attempted,621
2021,Warszawa,Fatal,407
2021,Wrocław,Attempted,1034
2021,Wrocław,Fatal,410
2022,Białystok,Attempted,583
2022,Białystok,Fatal,150
2022,Bydgoszcz,Attempted,510
2022,Bydgoszcz,Fatal,274
2022,Gdańsk,Attempted,1754
2022,Gdańsk,Fatal,332
2022,Gorzów Wlkp.,Attempted,313
2022,Gorzów Wlkp.,Fatal,139
2022,Katowice,Attempted,1951
2022,Katowice,Fatal,552
2022,Kielce,Attempted,515
2022,Kielce,Fatal,150
2022,Kraków,Attempted,1298
2022,Kraków,Fatal,410
2022,Łódź,Attempted,1426
2022,Łódź,Fatal,339
2022,Lublin,Attempted,791
2022,Lublin,Fatal,317
2022,Olsztyn,Attempted,624
2022,Olsztyn,Fatal,247
2022,Opole,Attempted,267
2022,Opole,Fatal,136
2022,Poznań,Attempted,827
2022,Poznań,Fatal,405
2022,Radom,Attempted,748
2022,Radom,Fatal,397
2022,Rzeszów,Attempted,695
2022,Rzeszów,Fatal,267
2022,Szczecin,Attempted,602
2022,Szczecin,Fatal,238
2022,Warszawa,Attempted,615
2022,Warszawa,Fatal,344
2022,Wrocław,Attempted,1001
2022,Wrocław,Fatal,411
